AFF_LOVE_POINT	Love points: %d%%	
HOW_MANY_ITEM_DO_YOU_DROP1	Do you want to drop %s?	
HOW_MANY_ITEM_DO_YOU_DROP2	Do you want to drop %s %d?	
INPUT_MATRIX_CARD_NUMBER	Enter Matrix Cardnumber.	
INPUT_MATRIX_CARD_TITLE	Matrix Card	
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Enter deletion-code from your account settings here.	
INPUT_PRIVATE_CODE_DIALOG_TITLE	Delete character	
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Role of Return cannot be combined.	
INVENTORY_REALLY_USE_ITEM	Do you want to use this Item?	
JOB_ASSASSIN	Ninja	
JOB_ASSASSIN0	Amateur Ninja	
JOB_ASSASSIN1	Power of the Ninjas	
JOB_ASSASSIN2	Undead	
JOB_SHAMAN	Shaman	
JOB_SHAMAN0	Amateur Shaman	
JOB_SHAMAN1	Power of the Dragon	
JOB_SHAMAN2	Lightning Power	
JOB_SURA	Sura	
JOB_SURA0	Amateur Sura	
JOB_SURA1	Power of the Fata Morgana	
JOB_SURA2	Power of Black Magic	
JOB_WARRIOR	Warrior	
JOB_WARRIOR0	Amateur Warrior	
JOB_WARRIOR1	Power of Arahan	
JOB_WARRIOR2	Power of Partisans	
LEFT_TIME	Time Remaining	
LOGIN_CONNECT_FAILURE	Error while connecting to the server.	
LOGIN_CONNECT_SUCCESS	You have been connected to the server.
LOGIN_CONNETING	You will be connected to the server...
LOGIN_FAILURE_ALREAY	Your account is already connected.	
LOGIN_FAILURE_BE_SAME_KEY	Registration problem.	
LOGIN_FAILURE_BLOCK_ID	Your account is banned.	
LOGIN_FAILURE_BLOCK_LOGIN	Please choose one of the other servers!
LOGIN_FAILURE_NOBILL	Your account had no play time.	
LOGIN_FAILURE_NOT_AVAIL	Your account cannot be used.	
LOGIN_FAILURE_NOT_EXIST_ID	Account name or password incorrect.
LOGIN_FAILURE_REPAIR_ID	Items have been restored for this account.	
LOGIN_FAILURE_SHUTDOWN	The server is not open yet.	
LOGIN_FAILURE_TOO_MANY_USER	You could not connect because too many players are online.	
LOGIN_FAILURE_UNKNOWN	You could not register for unknown reasons.	
LOGIN_FAILURE_WEB_BLOCK	You have been blocked at the website. Please check your EMails.	
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	You entered a wrong number.	
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	You entered a wrong number three times. /n Your connection will be disabled.	
LOGIN_FAILURE_WRONG_PASSWORD	Account name or password incorrect.
LOGIN_INPUT_ID	Enter the ID.	
LOGIN_INPUT_PASSWORD	Enter the password.	
LOGIN_PROCESSING	Logging in...
MALL_CANNOT_INSERT	You cannot place the Item.	
MALL_PASSWORD_TITLE	Password	
MAP_A1	Yongan Area
MAP_A2	Valley of Seungryong	
MAP_A3	Yayang Area
MAP_AG	Jungrang	
MAP_B1	Joan Area	
MAP_B2	Valley of Imji
MAP_B3	Bokjung Area
MAP_BAY	Nephrite Bay
MAP_BG	Waryong
MAP_C1	Pyungmoo Area
MAP_C2	Valley of Bangsan
MAP_C3	Bakra Area
MAP_CAPE	Cape Dragon Fire
MAP_CG	Imha
MAP_DAWN	Gautama Cliff
MAP_DESERT	Yongbi Desert	
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Land of Giants
MAP_SKELTOWER	Gumsan Tower
MAP_SNOW	Mount Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Hwang Temple	
MAP_THUNDER	Thunder Mountains
MAP_TREE	Lungsam	
MAP_TRENT02	Red Forest
MAP_WL	Snakefield
MESSENGER_ADD_FRIEND	Add Friend	
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s added you as a friend.	
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accept?	
MESSENGER_DO_YOU_DELETE	Delete?	
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Do you want to delete the cell phone number?	
MESSENGER_DO_YOU_MOVE	Do you want to go on?	
MESSENGER_EMPTY_LIST	Empty	
MESSENGER_FAMILY	Family	
MESSENGER_FRIEND	Friends	
MESSENGER_GUILD	Guild	
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Enter the confirmation number that was sent to your cell phone.	
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Enter confirmation number	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Enter the cell phone number for the Text message sending.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Do you want to enter the number now?	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Enter cell phone number.	
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Send message.	
MINIMAP	Open Mini Map	
MINIMAP_CANNOT_SEE	Mini Map cannot be seen.	
MINIMAP_CAN_NOT_SHOW_AREAMAP	Large Map cannot be shown.
MINIMAP_DEC_SCALE	Zoom out
MINIMAP_INC_SCALE	Zoom in	
MINIMAP_OBSERVER_COUNT	%d observers	
MINIMAP_SHOW_AREAMAP	Open Large Map	
MINUTE	Minutes	
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Ten Thousand	
MONETARY_UNIT2	Hundred Billion	
MONEY_INPUT_DIALOG_SELLPRICE	Sales Price:	
MOVE_ITEM_FAILURE_PRIVATE_SHOP	You cannot move items while you have a private shop open.
MUSIC_EMPTY_MUSIC_LIST	No Backgroundmusic.	
MUSIC_METIN2_DEFAULT_THEMA	Metin2 Standard music	
MUSIC_NOT_SELECT_MUSIC	No Music file chosen.	
NEEFD_REST	You must rest first.	
NOT_YET_SUPPORT	Not yer supported	
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	You cannot activate Guild Mode when you do not belong to a Guild.	
OPTION_PVPMODE_NOT_SUPPORT	You cannot choose this configuration in PvP Mode.	
OPTION_PVPMODE_PROTECT	You need to have at least Level %d to be able to change the PvP Mode.	
PARTY_BONUS_ATTACKER	Attack Value: +%d	SA
PARTY_BONUS_BERSERKER	Attck Speed: +%d	SA
PARTY_BONUS_BUFFER	Skill Duration: +%d	SA
PARTY_BONUS_DEFENDER	Defence: +%d	SA
PARTY_BONUS_EXP	Bonus EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. SP: +%d	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Delete Group	
PARTY_DO_YOU_ACCEPT	 would like to join the Group.	
PARTY_DO_YOU_JOIN	 has invited you to join his group. Accept?
PARTY_EXP_DISTRIBUTION_MODE	EXP Distribution	
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Level dependant
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Higher level group members receive more EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	even
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	All Group members receive the same EXP.	
PARTY_HEAL_ALL_MEMBER	Restore everything.	
PARTY_INCREASE_AREA_150	Range of the group heightened of the factor 1.5 .	SNA
PARTY_INCREASE_AREA_200	Range of the group heightened of the factor 2.	SNA
PARTY_LEAVE	Leave group
PARTY_LONGTIME_BONUS_EXP	Bonus EXP for a long group game: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]	
PARTY_RECALL_MEMBER	Call group member.	
PARTY_REGEN_BONUS	Bonus for HP- + SP regeneration: +%d%%	SA
PARTY_REQUEST_DENIED	Your request has been declined.
PARTY_SET_ATTACKER	Constitute as Attacker.	
PARTY_SET_BERSERKER	Constitute as Berserker.	
PARTY_SET_BUFFER	Constitute as Blocker.	
PARTY_SET_DEFENDER	Constitute as Defender.	
PARTY_SET_NORMAL	Withdraw settings.	
PARTY_SET_SKILL_MASTER	Constitute as Skill Master.	
PARTY_SET_TANKER	Constitute as blade fighter.	
PARTY_SKILL_ATTACKER	Base Attack Value Attacker +%,0f	
PARTY_SKILL_BERSERKER	Attack Speed Berserker +%,0f	
PARTY_SKILL_BUFFER	Skill Duration Blocker +%,0f	
PARTY_SKILL_DEFENDER	Defence Defender +%,0f	
PARTY_SKILL_HP_REGEN	HP Regeneration +%,0f%%	
PARTY_SKILL_PARTY_AREA	Group range +%d%%	
PARTY_SKILL_SKILL_MASTER	Max. SP Skill Master +%,0f	
PARTY_SKILL_SP_REGEN	SP Regeneration +%,0f%%	
PARTY_SKILL_TANKER	Max. HP blade fighter +%,0f	
PARTY_SKILL_WARP	Possible to call group members.	
PASSWORD_TITLE	Storeroom password
PICK_ITEM_TITLE	Item Number	
PICK_MONEY_TITLE	Sum	
PRIVATE_SHOP_CANNOT_SELL_ITEM	You cannot sell this item in a private shop.
PRIVATE_SHOP_CLOSE_QUESTION	Do you want to close the private shop?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Name of the private shop.
OFFLINE_SHOP_INPUT_NAME_DIALOG_TITLE	Name of the private shop.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Price
OFFLINE_SHOP_INPUT_PRICE_DIALOG_TITLE	Price
PVP_LEVEL0	Chivalric	
PVP_LEVEL1	Noble	
PVP_LEVEL2	Good	
PVP_LEVEL3	Friendly	
PVP_LEVEL4	Neutral	
PVP_LEVEL5	Aggressive	
PVP_LEVEL6	Fraudulent	
PVP_LEVEL7	Malicious	
PVP_LEVEL8	Cruel	
PVP_MODE_GUILD	PvP - Guild activated
PVP_MODE_KILL	PvP - Free activated
PVP_MODE_NORMAL	PvP - Peace activated
PVP_MODE_PROTECT	PvP - Protection activated
PVP_MODE_REVENGE	PvP - Hostile activated
PVP_OPTION_KILL	Free	
PVP_OPTION_NORMAL	Peace	
PVP_OPTION_PROTECT	Protection	
PVP_OPTION_REVENGE	Hostile	
QUEST_APPEND	New Quest acquired.	
QUEST_MIN	Min.	
QUEST_SEC	Sec.	
QUEST_TIMEOVER	Time Expired	
QUEST_UNLIMITED_TIME	No time limit.	
QUEST_ZEROSEC	0 Sec.	
QUICKSLOT_REGISTER_DISABLE_ITEM	This Item cannot be added to the Fast Access Field.	
RECEIVE_MESSAGE	%s sent you a message.	
REFINE_COST	Costs for Advancement: %d Yang
REFINE_DESTROY_WARNING	This Item could be destroyed while upgrading.	
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	This will improve the chance for upgrading,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	but if you fail the Item could be destroyed. /n Do you want to continue?
REFINE_DOWN_GRADE_WARNING	The Item could be down graded this way.	
REFINE_DO_YOU_SEPARATE_METIN	Do you want to remove all available spirit stones?
REFINE_FAILURE	You failed.	
REFINE_FAILURE_CAN_NOT_ATTACH	%s cannot be included in that Item.	
REFINE_FAILURE_EQUIP_ITEM	You cannot upgrade equipped Items.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	No spirit stone can be taken away.	
REFINE_FAILURE_NEED_BETTER_SCROLL	You need a better Advancement Scroll.	
REFINE_FAILURE_NO_GOLD_SOCKET	There is no Gold socket to include %s .	
REFINE_FAILURE_NO_MORE_SOCKET	You cannot make more Sockets.	
REFINE_FAILURE_NO_SOCKET0	There is no Socket to include the %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	You cannot make any Sockets on this Item.	
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	This Item cannot be upgraded.
REFINE_SUCCESS	The advancement of the Item was successful.	
REFINE_SUCCESS_PROBALITY	Chance for Advancement %d%%	
REFINE_WARNING2	Do you want to continue?	
SAFEBOX_ERROR	You entered the wrong password.	
SAFEBOX_SELL_DISABLE_SAFEITEM	You cannot sell any of the saved Items.	
SAFEBOX_WRONG_PASSWORD	The passwords have to be identical.	
SCREENSHOT_SAVE1	is saved in	
SCREENSHOT_SAVE2	Screenshot File	
SCREENSHOT_SAVE_FAILURE	Saving of Screenshot failed.	
SECOND	Sec	
SELECT_CAN_NOT_DELETE	You cannot delete the character.	
SELECT_CHANGED_NAME	You changed the name of the character.	
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	The character name is already existing.	
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Try again.	
SELECT_CHANGE_FAILURE_STRANGE_NAME	That	
SELECT_CHANGE_NAME_TITLE	Change character name.	
SELECT_DELEING	Character will be deleted.	
SELECT_DELETED	Deletion successful.	
SELECT_DO_YOU_DELETE_REALLY	Do you want to continue?	
SELECT_EMPTY_SLOT	This is an empty field.	
SELECT_GM_NAME	GM	
SELECT_INPUT_CHANGING_NAME	Enter a new character name.	
SELECT_NOT_JOIN_GUILD	No Guild	
SHOP_BUY_INFO	Choose the Item you want to buy in the shop window.
SHOP_CANNOT_SELL_EQUIPMENT	You cannot sell  equipped Items.
SHOP_CANNOT_SELL_ITEM	This Item cannot be sold.
SHOP_ERROR_UNKNOWN	Unknown Shop Error: %s
SHOP_INVALID_POS	This Item cannot be used here.
SHOP_INVENTORY_FULL	Your inventory is full.
SHOP_NOT_ENOUGH_MONEY	Not enough Yang
SHOP_NOT_ENOUGH_MONEY_EX	You do not have enough Yang.
SHOP_SELL_INFO	Choose the Item you want to sell  in your inventory window.
SHOP_SOLDOUT	Sold Out
SHOT_ERROR_UNKNOWN	Unknown Error during Long Distance Attack: %s
SKILL_BOHO	Reflect	
SKILL_BUDONG	is not used anymore	
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	You need EXP to learn this Skill.	
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	You need a Book to learn this Skill.	
SKILL_CHEONGEUN	Strong Body	
SKILL_CRITICAL	Critical hit
SKILL_ENCHANT_POISON	Apply Poison	
SKILL_EUNHYEONG	Camouflage	
SKILL_FAINT	Blackout	
SKILL_FIND_TRAP	Find Trap	
SKILL_FIRE	Permanent Fire	
SKILL_FISHMIND	Fishing Marble is active
SKILL_GAMJI	Capture	
SKILL_GEOMGYEONG	Aura of the Sword	
SKILL_GEONGON	SKILL_GEONGON Not used anymore	
SKILL_GICHEON	Dragon's Aid
SKILL_GIGONG	Chi Rotation	
SKILL_GONGPO	Fear	
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master	
SKILL_GRADE_NAME_MASTER	%s Master	
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master	
SKILL_GROUP_ASSASSIN_1	Blade	
SKILL_GROUP_ASSASSIN_2	Arc	
SKILL_GROUP_HORSE	Riding	
SKILL_GROUP_SHAMAN_1	Dragon	
SKILL_GROUP_SHAMAN_2	Healing	
SKILL_GROUP_SURA_1	Weapon	
SKILL_GROUP_SURA_2	Magic	
SKILL_GROUP_WARRIOR_1	Body	
SKILL_GROUP_WARRIOR_2	Mental	
SKILL_GWIGEOM	Enchanted Blade	
SKILL_GYEONGGONG	Feather Walking	
SKILL_HEUKSIN	Dark Protection	
SKILL_HOSIN	Blessing	
SKILL_HWAYEOM	SKILL_HWAYEOM Not used anymore	
SKILL_HYEOLMA	SKILL_HYEOLMA Not used anymore	
